iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,11,0.03276744857430458
1000,-0.88,2.12,8,0.017455024644732475
1500,-1.0,2.0,9,0.011626385152339935
2000,-1.0,2.0,8,0.015206515789031982
2500,-0.88,2.12,8,0.005102225579321384
3000,-0.88,2.12,8,0.006808963604271412
3500,-1.0,2.0,9,0.0030317564960569143
4000,-0.33,2.22,9,0.002317385980859399
4500,-0.64,2.0,11,0.0033056889660656452
5000,-0.64,2.0,11,0.004188770428299904
5500,0.0,2.0,8,0.002241177950054407
6000,-0.45,2.09,11,0.003701625857502222
6500,-0.22,2.0,9,0.006196174770593643
7000,0.0,2.0,8,0.005674814805388451
7500,-0.12,2.0,8,0.0030670403502881527
8000,0.0,2.0,8,0.0037750417832285166
8500,0.25,2.38,8,0.005785956513136625
9000,0.0,2.12,8,0.002318143378943205
9500,0.12,2.12,8,0.0038291066884994507
10000,0.12,2.12,8,0.0008345147944055498
10500,0.0,2.0,8,0.0018307070713490248
11000,-0.12,2.0,8,0.0035090213641524315
11500,0.0,2.0,8,0.0024337300565093756
12000,0.0,2.0,8,0.0009777743835002184
12500,-0.12,2.0,8,0.007136184722185135
13000,0.0,2.0,8,0.0006142238853499293
13500,0.25,2.25,8,0.0030031735077500343
14000,0.0,2.0,8,0.007745970971882343
14500,0.0,2.0,8,0.007202141918241978
15000,0.12,2.12,8,0.0014167118351906538
15500,0.38,2.5,8,0.00045024484279565513
16000,0.11,2.33,9,0.0026085167191922665
16500,0.12,2.38,8,0.0028417319990694523
17000,0.62,2.62,8,0.003637716406956315
17500,0.0,2.0,8,0.0009925300255417824
18000,0.12,2.12,8,0.001563910860568285
18500,0.25,2.38,8,0.0002818398643285036
19000,0.12,2.12,8,0.003979408647865057
19500,0.12,2.25,8,0.002795018022879958
20000,0.38,2.62,8,0.0006380864651873708
20500,0.75,2.75,8,0.0049895839765667915
21000,0.22,2.44,9,0.0020880012307316065
21500,-0.12,2.0,8,0.006769293919205666
22000,0.12,2.12,8,0.004102629609405994
22500,0.62,2.88,8,0.0010836337460204959
23000,0.0,2.0,8,0.0037456871941685677
23500,0.5,2.5,8,0.00371044990606606
24000,0.3,2.7,10,0.001412446377798915
24500,0.38,2.5,8,0.004874053411185741
25000,0.5,2.62,8,0.002626206260174513
25500,0.8,3.2,10,0.007252688519656658
26000,0.62,2.75,8,0.001961314119398594
26500,0.5,2.62,8,0.002759880619123578
27000,0.75,2.88,8,0.002919947262853384
27500,1.0,3.55,11,0.0027919644489884377
28000,0.89,3.22,9,0.0050958492793142796
28500,1.56,4.0,9,0.005147862248122692
29000,1.25,3.38,8,0.003981181886047125
29500,1.0,3.45,11,0.00211330596357584
30000,1.12,4.12,8,0.005999610759317875
30500,1.7,4.1,10,0.009618042968213558
31000,1.62,4.62,8,0.02598543092608452
31500,3.0,6.0,8,0.014132929965853691
32000,4.0,7.0,8,0.006452470552176237
32500,3.0,6.0,8,0.005776425823569298
33000,2.75,5.75,8,0.012042216956615448
33500,3.25,6.25,8,0.006504726596176624
34000,2.62,5.62,8,0.007089372258633375
34500,4.88,7.88,8,0.010313160717487335
35000,3.38,6.38,8,0.019699521362781525
35500,4.38,7.38,8,0.007762381341308355
36000,4.0,7.0,8,0.03079979494214058
36500,6.12,9.12,8,0.005486521869897842
37000,3.75,6.75,8,0.006962140090763569
37500,3.75,6.75,8,0.023440441116690636
38000,5.88,8.88,8,0.004415860399603844
38500,4.88,7.88,8,0.004068885929882526
39000,4.5,7.5,8,0.006262912414968014
39500,5.12,8.12,8,0.006674624048173428
40000,5.25,8.25,8,0.007855469360947609
40500,6.25,9.25,8,0.010149810463190079
41000,3.12,6.12,8,0.018100418150424957
41500,9.12,12.12,8,0.013417476788163185
42000,5.88,8.88,8,0.028873853385448456
42500,7.38,10.38,8,0.0082098925486207
43000,8.75,11.75,8,0.005487578455358744
43500,7.38,10.38,8,0.006561475805938244
44000,6.25,9.25,8,0.005902796983718872
44500,7.5,10.5,8,0.004150635562837124
45000,8.38,11.38,8,0.015096204355359077
45500,7.25,10.25,8,0.010938359424471855
46000,5.38,8.38,8,0.006056040525436401
46500,7.5,10.5,8,0.008374164812266827
47000,8.38,11.38,8,0.007448150310665369
47500,9.75,12.75,8,0.006733233109116554
48000,7.25,10.25,8,0.007399863563477993
48500,6.62,9.62,8,0.013963310047984123
49000,4.75,7.75,8,0.030421320348978043
49500,10.88,13.88,8,0.0052787563763558865
50000,7.88,10.88,8,0.008446240797638893
50500,10.38,13.38,8,0.00296810083091259
51000,11.12,14.12,8,0.016370628029108047
51500,5.38,8.38,8,0.008174024522304535
52000,11.0,14.0,8,0.006295276340097189
52500,12.62,15.62,8,0.005647209007292986
53000,6.5,9.5,8,0.005564332008361816
53500,8.62,11.62,8,0.003776711178943515
54000,4.25,7.25,8,0.021902477368712425
54500,6.75,9.75,8,0.019867688417434692
55000,10.25,13.25,8,0.02131468802690506
55500,11.38,14.38,8,0.012505143880844116
56000,9.12,12.12,8,0.012882176786661148
56500,10.5,13.5,8,0.011883126571774483
57000,7.5,10.5,8,0.008857818320393562
57500,8.75,11.75,8,0.006985804066061974
58000,8.88,11.88,8,0.005776460748165846
58500,10.25,13.25,8,0.008050302043557167
59000,8.38,11.38,8,0.026534751057624817
59500,12.25,15.25,8,0.008460069075226784
60000,12.38,15.38,8,0.017896682024002075
60500,11.88,14.88,8,0.0233076810836792
61000,5.62,8.62,8,0.007960212416946888
61500,10.0,13.0,8,0.00972844660282135
62000,11.0,14.0,8,0.0096431327983737
62500,12.38,15.38,8,0.009537748992443085
63000,10.62,13.62,8,0.011350368149578571
63500,12.88,15.88,8,0.019707070663571358
64000,8.0,11.0,8,0.011635672301054
64500,11.75,14.75,8,0.02941245585680008
65000,12.62,15.62,8,0.016029097139835358
65500,10.88,13.88,8,0.0071267019957304
66000,11.0,14.0,8,0.014153040014207363
66500,5.88,8.88,8,0.01379341073334217
67000,9.75,12.75,8,0.027145298197865486
67500,14.5,17.5,8,0.010189895518124104
68000,13.75,16.75,8,0.011238177306950092
68500,9.0,12.0,8,0.012134076096117496
69000,14.0,17.0,8,0.010881908237934113
69500,4.88,7.88,8,0.01085752248764038
70000,10.75,13.75,8,0.010599479079246521
70500,10.75,13.75,8,0.009651422500610352
71000,5.5,8.5,8,0.00989789329469204
71500,13.5,16.5,8,0.016352597624063492
72000,14.0,17.0,8,0.014753224328160286
72500,12.38,15.38,8,0.00966356135904789
73000,13.25,16.25,8,0.007308869622647762
73500,9.75,12.75,8,0.03078480064868927
74000,9.5,12.5,8,0.007498228922486305
74500,16.88,19.88,8,0.0347793772816658
75000,9.0,12.0,8,0.010154623538255692
75500,10.75,13.75,8,0.033565640449523926
76000,5.88,8.88,8,0.025906940922141075
76500,15.62,18.62,8,0.008487008512020111
77000,9.12,12.12,8,0.013585278764367104
77500,11.56,14.56,9,0.006929454393684864
78000,10.75,13.75,8,0.03175628185272217
78500,8.5,11.5,8,0.010471697896718979
79000,9.0,12.0,8,0.008111654780805111
79500,13.75,16.75,8,0.01409029308706522
80000,15.0,18.0,8,0.021389393135905266
80500,15.75,18.75,8,0.01245301216840744
81000,13.38,16.38,8,0.023212896659970284
81500,7.38,10.38,8,0.011389699764549732
82000,8.25,11.25,8,0.0077441781759262085
82500,17.5,20.5,8,0.025996141135692596
83000,12.75,15.75,8,0.008611826226115227
83500,16.0,19.0,8,0.00974324531853199
84000,13.12,16.12,8,0.014278993010520935
84500,11.75,14.75,8,0.012143081054091454
85000,12.62,15.62,8,0.019757665693759918
85500,15.75,18.75,8,0.03252787888050079
86000,10.12,13.12,8,0.012956873513758183
86500,13.5,16.5,8,0.005898818839341402
87000,12.62,15.62,8,0.02636679634451866
87500,13.0,16.0,8,0.029163170605897903
88000,9.88,12.88,8,0.016780974343419075
